"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_175","1151002000","False","Regular","account.data_account_type_asset","ISR  RETENIDO BANCARIO","l10n_mx.g113_08","Deudora","__export__.account_account_81"
"__export__.account_account_176","1151003000","True","Regular","account.data_account_type_asset","IVA ACREDITABLE EFECTIVAMENTE PAGADO","l10n_mx.g118_01","Deudora","__export__.account_account_81"
"__export__.account_account_182","1151004000","True","Regular","account.data_account_type_asset","IVA ACREDITABLE","l10n_mx.g113_01","Deudora","__export__.account_account_81"
"__export__.account_account_177","1151005000","False","Regular","account.data_account_type_asset","IMPUESTOS MUNICIPALES","l10n_mx.g113_08","Deudora","__export__.account_account_81"
"__export__.account_account_181","1151006000","False","Regular","account.data_account_type_asset","ISR A FAVOR","l10n_mx.g113_02","Deudora","__export__.account_account_81"
"__export__.account_account_11","12","False","View","l10n_mx.account_type_view","ACTIVO LARGO PLAZO","l10n_mx.g100_02","Deudora","__export__.account_account_2"
"__export__.account_account_31","121","False","View","l10n_mx.account_type_view","ACTIVO FIJO NETO","l10n_mx.g100_02","Deudora","__export__.account_account_11"
"__export__.account_account_82","1211","False","View","l10n_mx.account_type_view","ACTIVO FIJO","l10n_mx.g100_02","Deudora","__export__.account_account_31"
"__export__.account_account_183","1211001000","False","Regular","account.data_account_type_asset","TERRENOS","l10n_mx.g151","Deudora","__export__.account_account_82"
"__export__.account_account_184","1211002000","False","Regular","account.data_account_type_asset","EDIFICIOS","l10n_mx.g152","Deudora","__export__.account_account_82"
"__export__.account_account_185","1211004000","False","Regular","account.data_account_type_asset","MOBILIARIO Y EQUIPO DE OFICINA","l10n_mx.g155","Deudora","__export__.account_account_82"
"__export__.account_account_186","1211003000","False","Regular","account.data_account_type_asset","EQUIPO DE TRANSPORTE","l10n_mx.g154","Deudora","__export__.account_account_82"
"__export__.account_account_187","1211005000","False","Regular","account.data_account_type_asset","EQUIPO DE COMUNICACION","l10n_mx.g157","Deudora","__export__.account_account_82"
"__export__.account_account_188","1211006000","False","Regular","account.data_account_type_asset","EQUIPO DE COMPUTO","l10n_mx.g156","Deudora","__export__.account_account_82"
"__export__.account_account_83","1212","False","View","l10n_mx.account_type_view","DEPRECIACION Y AMORTIZACION ACUMULADAS","l10n_mx.g171","Acreedora","__export__.account_account_31"
"__export__.account_account_190","1212002000","False","Regular","account.data_account_type_asset","DEP ACUM EDIFICIOS","l10n_mx.g171_01","Acreedora","__export__.account_account_83"
"__export__.account_account_191","1212004000","False","Regular","account.data_account_type_asset","DEP ACUM MOBILIARIO Y EQUIPO DE OFICINA","l10n_mx.g171_04","Acreedora","__export__.account_account_83"
"__export__.account_account_192","1212003000","False","Regular","account.data_account_type_asset","DEP ACUM EQUIPO DE TRANSPORTE","l10n_mx.g171_03","Acreedora","__export__.account_account_83"
"__export__.account_account_193","1212005000","False","Regular","account.data_account_type_asset","DEP ACUM EQUIPO DE COMUNICACION","l10n_mx.g171_06","Acreedora","__export__.account_account_83"
