"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_355","7151030000","False","Regular","account.data_account_type_expense","HONORARIOS A PERSONAS MORALES","l10n_mx.g601_38","Deudora","__export__.account_account_123"
"__export__.account_account_356","7151031000","False","Regular","account.data_account_type_expense","GASTOS DE INSTALACION","l10n_mx.g601_14","Deudora","__export__.account_account_123"
"__export__.account_account_357","7151032000","False","Regular","account.data_account_type_expense","ENERGIA ELECTRICA","l10n_mx.g601_52","Deudora","__export__.account_account_123"
"__export__.account_account_62","716","False","View","l10n_mx.account_type_view","DEPRECIACION Y AMORTIZACION","l10n_mx.g171","Acreedora","__export__.account_account_23"
"__export__.account_account_124","7161","False","View","l10n_mx.account_type_view","DEPRECIACION","l10n_mx.g171","Acreedora","__export__.account_account_62"
"__export__.account_account_373","7161002000","False","Regular","account.data_account_type_expense","DEPRECIACION DE EDIFICIOS","l10n_mx.g613_01","Deudora","__export__.account_account_124"
"__export__.account_account_374","7161003000","False","Regular","account.data_account_type_expense","DEPRECIACION DE MOB Y EQ DE OFICINA","l10n_mx.g613_04","Deudora","__export__.account_account_124"
"__export__.account_account_375","7161004000","False","Regular","account.data_account_type_expense","DEPRECIACION DE EQ DE TRANSPORTE","l10n_mx.g613_03","Deudora","__export__.account_account_124"
"__export__.account_account_376","7161005000","False","Regular","account.data_account_type_expense","DEPRECIACION DE EQ DE COMUNICACIONES","l10n_mx.g613_06","Deudora","__export__.account_account_124"
"__export__.account_account_377","7161006000","False","Regular","account.data_account_type_expense","DEPRECIACION DE EQ DE COMPUTO","l10n_mx.g613_05","Deudora","__export__.account_account_124"
"__export__.account_account_125","7162","False","View","l10n_mx.account_type_view","AMORTIZACION","l10n_mx.g183","Acreedora","__export__.account_account_62"
"__export__.account_account_379","7162001000","False","Regular","account.data_account_type_expense","AMORTIZACION DE SEGUROS","l10n_mx.g614_10","Deudora","__export__.account_account_125"
"__export__.account_account_9","9","False","View","l10n_mx.account_type_view","EGRESOS E INGRESOS","l10n_mx.g703","Deudora","__export__.account_account_1"
"__export__.account_account_24","91","False","View","l10n_mx.account_type_view","EGRESOS","l10n_mx.g600","Deudora","__export__.account_account_9"
"__export__.account_account_63","911","False","View","l10n_mx.account_type_view","GASTOS FINANCIEROS","l10n_mx.g701","Deudora","__export__.account_account_24"
"__export__.account_account_126","9111","False","View","l10n_mx.account_type_view","GASTOS FINANCIEROS","l10n_mx.g701","Deudora","__export__.account_account_63"
"__export__.account_account_380","9111001000","False","Regular","account.data_account_type_expense","INTERESES BANCOS NACIONALES","l10n_mx.g701_04","Deudora","__export__.account_account_126"
"__export__.account_account_381","9111002000","False","Regular","account.data_account_type_expense","COMISIONES Y GASTOS BANCARIOS","l10n_mx.g701_10","Deudora","__export__.account_account_126"
"__export__.account_account_383","9111004000","False","Regular","account.data_account_type_expense","INTERESES POR FINANCIAMIENTOS","l10n_mx.g701_04","Deudora","__export__.account_account_126"
"__export__.account_account_384","9111099000","False","Regular","account.data_account_type_expense","OTROS EGRESOS","l10n_mx.g701_11","Deudora","__export__.account_account_126"
"__export__.account_account_127","9113","False","View","l10n_mx.account_type_view","OTROS EGRESOS","l10n_mx.g703","Deudora","__export__.account_account_63"
"__export__.account_account_385","9113002000","False","Regular","account.data_account_type_expense","INTERESES S/PRESTACIONES SOCIALES","l10n_mx.g701_06","Deudora","__export__.account_account_127"
"__export__.account_account_386","9113003000","False","Regular","account.data_account_type_expense","PERDIDAS EN VENTAS ACTIVOS FIJOS","l10n_mx.g703_09","Deudora","__export__.account_account_127"
"__export__.account_account_387","9113004000","False","Regular","account.data_account_type_expense","PERDIDAS EN INVERSIONES DE BONOS P.","l10n_mx.g703_21","Deudora","__export__.account_account_127"
"__export__.account_account_388","9113005000","False","Regular","account.data_account_type_expense","PERDIDAS EN VENTAS DE INVERSIONES","l10n_mx.g703_21","Deudora","__export__.account_account_127"
"__export__.account_account_389","9113006000","False","Regular","account.data_account_type_expense","PERDIDAS EN DIFERENCIAL CAMBIARIO","l10n_mx.g701_01","Deudora","__export__.account_account_127"
"__export__.account_account_390","9113007000","False","Regular","account.data_account_type_expense","AJUSTE DE AÑOS ANTERIORES","l10n_mx.g703_21","Deudora","__export__.account_account_127"
"__export__.account_account_391","9113010000","False","Regular","account.data_account_type_expense","PERDIDA POR ROBO DE INVENTARIO","l10n_mx.g703_21","Deudora","__export__.account_account_127"
"__export__.account_account_128","9114","False","View","l10n_mx.account_type_view","EGRESOS NO GRAVABLES","l10n_mx.g601_83","Deudora","__export__.account_account_63"
"__export__.account_account_393","9114001000","False","Regular","account.data_account_type_expense","IMPUESTOS A LAS TRANSACIONES FINANCIERAS","l10n_mx.g703_21","Deudora","__export__.account_account_128"
