ext_id,code,reconcile,type,user_type,name,sat_group_,nature,parent
"bamc_2201003","2201-003","True","A pagar","account.data_account_type_payable","PRESTAMOS BANCARIOS.-American Express BLUE 1008","l10n_mx.g256_01","Acreedora","bamc_2201"
"bamc_2201004","2201-004","True","A pagar","account.data_account_type_payable","PRESTAMOS BANCARIOS.-American Express Green 1002","l10n_mx.g256_01","Acreedora","bamc_2201"
"bamc_2201005","2201-005","True","A pagar","account.data_account_type_payable","PRESTAMOS BANCARIOS.-HSBC 700590079","l10n_mx.g256_01","Acreedora","bamc_2201"
"bamc_2201006","2201-006","True","A pagar","account.data_account_type_payable","PRESTAMOS BANCARIOS.- Banamex Credito 96045","l10n_mx.g256_01","Acreedora","bamc_2201"
"bamc_2201007","2201-007","True","A pagar","account.data_account_type_payable","PRESTAMOS BANCARIOS.- Banorte Acura","l10n_mx.g256_01","Acreedora","bamc_2201"
"bamc_2201008","2201-008","True","A pagar","account.data_account_type_payable","PRESTAMOS BANCARIOS.- Banorte 2076","l10n_mx.g256_01","Acreedora","bamc_2201"
"bamc_2204","2204","False","Vista","account.account_type_liability_view1","ACREEDORES DIVERSOS A LP","l10n_mx.g256","Acreedora","bamc_2000"
"bamc_2204001","2204-001","True","A pagar","account.data_account_type_payable","ACREEDORES DIVERSOS A LP.- Banorte","l10n_mx.g256_01","Acreedora","bamc_2204"
"bamc_2204002","2204-002","True","A pagar","account.data_account_type_payable","ACREEDORES DIVERSOS A LP.- Vision Auomotriz De Sin","l10n_mx.g256_01","Acreedora","bamc_2204"
"bamc_3000","3000","False","Vista","l10n_mx.account_type_view","CAPITAL CONTABLE","l10n_mx.g300","Acreedora","bamc_0000"
"bamc_3101","3101","False","Vista","l10n_mx.account_type_view","CAPITAL SOCIAL","l10n_mx.g301","Acreedora","bamc_3000"
"bamc_3101001","3101-001","False","Normal","account.conf_account_type_equity","CAPITAL SOCIAL.-Capital Fijo","l10n_mx.g301_01","Acreedora","bamc_3101"
"bamc_3201","3201","False","Vista","l10n_mx.account_type_view","RESERVA LEGAL","l10n_mx.g303","Acreedora","bamc_3000"
"bamc_3201001","3201-001","False","Normal","account.conf_account_type_equity","RESERVAL LEGAL.-Reserva Legal","l10n_mx.g303_01","Acreedora","bamc_3201"
"bamc_3301","3301","False","Normal","account.conf_account_type_equity","APORTACIONES PARA FUTUROS AUMENTOS DE CAPITAL","l10n_mx.g301_03","Acreedora","bamc_3000"
"bamc_3500","3500","False","Vista","l10n_mx.account_type_view","RESULTADO DEL EJERCICIO","l10n_mx.g305","Acreedora","bamc_3000"
"bamc_3500001","3500-001","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO","l10n_mx.g305_01","Acreedora","bamc_3500"
"bamc_3501","3501","False","Vista","l10n_mx.account_type_view","RESULTADO DE EJERCICIOS ANTERIORES","l10n_mx.g304","Acreedora","bamc_3000"
"bamc_3501004","3501-004","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-2012","l10n_mx.g304_02","Acreedora","bamc_3501"
"bamc_3501005","3501-005","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-2013","l10n_mx.g304_01","Acreedora","bamc_3501"
"bamc_3501006","3501-006","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-2014","l10n_mx.g304_01","Acreedora","bamc_3501"
"bamc_3501007","3501-007","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-ISR 2014","l10n_mx.g304_01","Acreedora","bamc_3501"
"bamc_3501008","3501-008","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-2015","l10n_mx.g304_01","Acreedora","bamc_3501"
"bamc_3501009","3501-009","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-2016","l10n_mx.g304_01","Acreedora","bamc_3501"
"bamc_3501010","3501-010","False","Normal","account.conf_account_type_equity","RESULTADO DEL EJERCICIO.-2017","l10n_mx.g304_01","Acreedora","bamc_3501"
"bamc_4101","4101","False","Vista","account.account_type_expense_view1","GASTOS DE OPERACION","l10n_mx.g602","Deudora","bamc_0000"
"bamc_4101001","4101-001","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Arrendamiento","l10n_mx.g602_45","Deudora","bamc_4101"
"bamc_4101003","4101-003","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Propaganda y Publicidad","l10n_mx.g602_61","Deudora","bamc_4101"
"bamc_4101005","4101-005","False","Normal","account.data_account_type_expense","GTOS DE OPER.-No deducibles","l10n_mx.g602_83","Deudora","bamc_4101"
"bamc_4101006","4101-006","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Mantenimiento y Conservacion","l10n_mx.g602_56","Deudora","bamc_4101"
"bamc_4101013","4101-013","False","Normal","account.data_account_type_expense","GTOS DE OPER.- Fletes y Acarreos","l10n_mx.g602_72","Deudora","bamc_4101"
"bamc_4101016","4101-016","False","Normal","account.data_account_type_expense","GTOS DE OPER.- Diversos Gastos","l10n_mx.g602_84","Deudora","bamc_4101"
"bamc_4101038","4101-038","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Agua Purificada","l10n_mx.g602_51","Deudora","bamc_4101"
"bamc_4101040","4101-040","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Uniformes","l10n_mx.g602_77","Deudora","bamc_4101"
"bamc_4101041","4101-041","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Cuotas al IMSS","l10n_mx.g602_26","Deudora","bamc_4101"
"bamc_4101042","4101-042","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Aportaciones al INFONAVIT","l10n_mx.g602_27","Deudora","bamc_4101"
"bamc_4101043","4101-043","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Aportaciones al RCV","l10n_mx.g602_28","Deudora","bamc_4101"
"bamc_4101044","4101-044","False","Normal","account.data_account_type_expense","GTOS DE OPER.-Impuesto Estatal sobre Nominas","l10n_mx.g602_29","Deudora","bamc_4101"
"bamc_4106","4106","False","Vista","account.account_type_expense_view1","GASTOS DE ADMINISTRACION","l10n_mx.g603","Deudora","bamc_0000"
"bamc_4106001","4106-001","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-HONORARIOS","l10n_mx.g603_34","Deudora","bamc_4106"
"bamc_4106002","4106-002","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Uniformes de trabajo","l10n_mx.g603_75","Deudora","bamc_4106"
"bamc_4106003","4106-003","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Telefono y Correos","l10n_mx.g603_50","Deudora","bamc_4106"
"bamc_4106004","4106-004","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Papeleria y Articulo de Oficina","l10n_mx.g603_55","Deudora","bamc_4106"
"bamc_4106005","4106-005","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Viaticos y Gastos de Viaje","l10n_mx.g603_49","Deudora","bamc_4106"
"bamc_4106006","4106-006","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Cuotas y Suscripciones","l10n_mx.g603_60","Deudora","bamc_4106"
"bamc_4106007","4106-007","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Vigilancia y Seguridad","l10n_mx.g603_53","Deudora","bamc_4106"
"bamc_4106008","4106-008","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Servicio de Taxi","l10n_mx.g603_16","Deudora","bamc_4106"
"bamc_4106009","4106-009","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Paqueteria y Mensajeria","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106010","4106-010","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Mantenimiento Eqpo oficina","l10n_mx.g603_56","Deudora","bamc_4106"
"bamc_4106011","4106-011","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Mantenimiento Eqpo computo","l10n_mx.g603_56","Deudora","bamc_4106"
"bamc_4106012","4106-012","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Articulos de Limpieza","l10n_mx.g603_54","Deudora","bamc_4106"
"bamc_4106013","4106-013","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Gastos de Transporte","l10n_mx.g603_16","Deudora","bamc_4106"
"bamc_4106017","4106-017","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Robos y/o Asaltos","l10n_mx.g603_81","Deudora","bamc_4106"
"bamc_4106018","4106-018","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Accesorios para Equipo de Computo","l10n_mx.g603_82","Deudora","bamc_4106"
"bamc_4106019","4106-019","False","Normal","account.data_account_type_expense","GTOS DE ADMON.-Depreciaciones","l10n_mx.g603_81","Deudora","bamc_4106"
