"id","code","reconcile","type","user_type/id","name","sat_group_id/id","nature","parent_id/id"
"__export__.account_account_787","9111003000","False","Regular","l10n_mx.account_type_other","COMISIONES TICKET DE ALIMENTACION","","","__export__.account_account_531"
"__export__.account_account_788","9111004000","False","Regular","l10n_mx.account_type_other","INTERESES POR FINANCIAMIENTOS","","","__export__.account_account_531"
"__export__.account_account_789","9111099000","False","Regular","l10n_mx.account_type_other","OTROS EGRESOS","","","__export__.account_account_531"
"__export__.account_account_532","9113","False","View","l10n_mx.account_type_view","OTROS EGRESOS","","","__export__.account_account_468"
"__export__.account_account_790","9113002000","False","Regular","l10n_mx.account_type_other","INTERESES S/PRESTACIONES SOCIALES","","","__export__.account_account_532"
"__export__.account_account_791","9113003000","False","Regular","l10n_mx.account_type_other","PERDIDAS EN VENTAS ACTIVOS FIJOS","","","__export__.account_account_532"
"__export__.account_account_792","9113004000","False","Regular","l10n_mx.account_type_other","PERDIDAS EN INVERSIONES DE BONOS P.","","","__export__.account_account_532"
"__export__.account_account_793","9113005000","False","Regular","l10n_mx.account_type_other","PERDIDAS EN VENTAS DE INVERSIONES","","","__export__.account_account_532"
"__export__.account_account_794","9113006000","False","Regular","l10n_mx.account_type_other","PERDIDAS EN DIFERENCIAL CAMBIARIO","","","__export__.account_account_532"
"__export__.account_account_795","9113007000","False","Regular","l10n_mx.account_type_other","AJUSTE DE AÑOS ANTERIORES","","","__export__.account_account_532"
"__export__.account_account_796","9113010000","False","Regular","l10n_mx.account_type_other","PERDIDA POR ROBO DE INVENTARIO","","","__export__.account_account_532"
"__export__.account_account_797","9113012000","False","Regular","l10n_mx.account_type_other","FLUCTUACION CAMBIARIA NO REALIZADAS","","","__export__.account_account_532"
"__export__.account_account_533","9114","False","View","l10n_mx.account_type_view","EGRESOS NO GRAVABLES","","","__export__.account_account_468"
"__export__.account_account_798","9114001000","False","Regular","l10n_mx.account_type_other","IMPUESTOS A LAS TRANSACIONES FINANCIERAS","","","__export__.account_account_533"
"__export__.account_account_430","92","False","View","l10n_mx.account_type_view","OTROS INGRESOS","","","__export__.account_account_414"
"__export__.account_account_469","921","False","View","l10n_mx.account_type_view","OTROS INGRESOS","","","__export__.account_account_430"
"__export__.account_account_534","9211","False","View","l10n_mx.account_type_view","INGRESOS FINANCIEROS","","","__export__.account_account_469"
"__export__.account_account_799","9211001000","False","Regular","l10n_mx.account_type_income","INTERESES DE BANCOS NACIONALES","","","__export__.account_account_534"
"__export__.account_account_800","9211002000","False","Regular","l10n_mx.account_type_other","INTERESES DE BANCOS EXTRANJEROS","","","__export__.account_account_534"
"__export__.account_account_801","9211003000","False","Regular","l10n_mx.account_type_other","OTROS INGRESOS FINANCIEROS","","","__export__.account_account_534"
"__export__.account_account_535","9212","False","View","l10n_mx.account_type_view","OTROS INGRESOS","","","__export__.account_account_469"
"__export__.account_account_802","9212001000","False","Regular","l10n_mx.account_type_other","GANANCIAS EN VENTAS DE ACTIVOS FIJOS","","","__export__.account_account_535"
"__export__.account_account_803","9212002000","False","Regular","l10n_mx.account_type_other","GANANCIAS EN VENTAS DE INVERSIONES","","","__export__.account_account_535"
"__export__.account_account_804","9212003000","False","Regular","l10n_mx.account_type_income","GANANCIAS EN DIFERENCIAL CAMBIARIO","","","__export__.account_account_535"
"__export__.account_account_805","9212004000","False","Regular","l10n_mx.account_type_other","INTERESES VARIOS","","","__export__.account_account_535"
"__export__.account_account_806","9212005000","False","Regular","l10n_mx.account_type_other","OTROS INGRESOS","","","__export__.account_account_535"
