"id","name","account_root_id/id","tax_code_root_id/id","bank_account_view_id/id","property_account_receivable/id","property_account_payable/id","property_account_expense_categ/id","property_account_income_categ/id"
"account.configurable_chart_template","Configurable Account Chart Template","account.conf_chart0","account.tax_code_chart_root","account.conf_bnk","account.conf_a_recv","account.conf_a_pay","account.conf_a_expense","account.conf_a_sale"
"l10n_mx.vauxoo_mx_chart_template","Plan de Cuentas para Mexico","l10n_mx.cuenta0","l10n_mx.vat_code_tax","l10n_mx.cuenta1113","l10n_mx.cuenta1122001000","l10n_mx.cuenta2122001000","l10n_mx.cuenta6111001000","l10n_mx.cuenta5111001000"
